pair_id,task_id,unit_id,run_id,reference_class,score,max_score,pass_score,criteria_without_score,prediction,match,review_file
ds_backend::unit_024,ds_backend,unit_024,01a07770-4411-782f-8040-aa80c8939541,weak,6.0,10.0,6.0,0,pass,False,ai-reviews/01a07770-4411-782f-8040-aa80c8939541.json
ds_backend::unit_025,ds_backend,unit_025,01a07770-48a8-7403-b563-2d6c5d91e334,medium,5.0,10.0,6.0,0,fail,,ai-reviews/01a07770-48a8-7403-b563-2d6c5d91e334.json
ds_backend::unit_026,ds_backend,unit_026,01a07770-4e0a-7183-a088-c6ffce697039,normal,8.0,10.0,6.0,1,pass,True,ai-reviews/01a07770-4e0a-7183-a088-c6ffce697039.json
ds_mlflow::unit_027,ds_mlflow,unit_027,01a07770-5431-7b79-8563-2ac9a4b005ab,normal,9.0,10.0,6.0,2,pass,True,ai-reviews/01a07770-5431-7b79-8563-2ac9a4b005ab.json
ds_mlflow::unit_028,ds_mlflow,unit_028,01a07770-590c-7e51-81c4-2a7930c6f59a,medium,3.0,10.0,6.0,0,fail,,ai-reviews/01a07770-590c-7e51-81c4-2a7930c6f59a.json
ds_mlflow::unit_029,ds_mlflow,unit_029,01a07770-5ddf-7668-9a66-983d7fa4e154,normal,3.0,10.0,6.0,0,fail,False,ai-reviews/01a07770-5ddf-7668-9a66-983d7fa4e154.json
product_1::unit_030,product_1,unit_030,01a07770-625c-765f-bc13-7c371c975dd3,normal,9.0,10.0,6.0,1,pass,True,ai-reviews/01a07770-625c-765f-bc13-7c371c975dd3.json
product_1::unit_031,product_1,unit_031,01a07770-66dc-7095-a4ac-f94f0daf053b,medium,10.0,10.0,6.0,1,pass,,ai-reviews/01a07770-66dc-7095-a4ac-f94f0daf053b.json
product_1::unit_032,product_1,unit_032,01a07770-6b74-7ab0-bae0-021f7403cbd3,normal,10.0,10.0,6.0,2,pass,True,ai-reviews/01a07770-6b74-7ab0-bae0-021f7403cbd3.json
product_2::unit_033,product_2,unit_033,01a07770-7029-7c45-bd00-f6a887e01a0d,weak,3.0,10.0,6.0,1,fail,True,ai-reviews/01a07770-7029-7c45-bd00-f6a887e01a0d.json
product_2::unit_034,product_2,unit_034,01a07770-7484-7fb3-9faf-1980380d7ada,medium,10.0,10.0,6.0,4,pass,,ai-reviews/01a07770-7484-7fb3-9faf-1980380d7ada.json
product_2::unit_035,product_2,unit_035,01a07770-7950-70e5-9428-753e48dcc8c5,normal,10.0,10.0,6.0,5,pass,True,ai-reviews/01a07770-7950-70e5-9428-753e48dcc8c5.json
product_3::unit_036,product_3,unit_036,01a07770-7e6a-7d7d-bcf3-bdb14a1b7fd4,normal,9.0,10.0,6.0,1,pass,True,ai-reviews/01a07770-7e6a-7d7d-bcf3-bdb14a1b7fd4.json
product_3::unit_037,product_3,unit_037,01a07770-82c1-7b65-b381-fcb6c2e9931b,medium,10.0,10.0,6.0,2,pass,,ai-reviews/01a07770-82c1-7b65-b381-fcb6c2e9931b.json
product_3::unit_038,product_3,unit_038,01a07770-86df-795b-a67b-36723f178a10,normal,10.0,10.0,6.0,4,pass,True,ai-reviews/01a07770-86df-795b-a67b-36723f178a10.json
product_4::unit_039,product_4,unit_039,01a07770-8afa-738e-896e-4729a84b9660,weak,10.0,10.0,6.0,2,pass,False,ai-reviews/01a07770-8afa-738e-896e-4729a84b9660.json
product_4::unit_040,product_4,unit_040,01a07770-8f1a-7eab-ab65-c827144159b6,medium,9.0,10.0,6.0,2,pass,,ai-reviews/01a07770-8f1a-7eab-ab65-c827144159b6.json
product_4::unit_041,product_4,unit_041,01a07770-93ab-7770-a3e7-ca6c1a5dcbc5,normal,10.0,10.0,6.0,1,pass,True,ai-reviews/01a07770-93ab-7770-a3e7-ca6c1a5dcbc5.json
product_5::unit_042,product_5,unit_042,01a07770-9862-7ced-8b21-e9cfa057bcdf,weak,7.0,10.0,6.0,0,pass,False,ai-reviews/01a07770-9862-7ced-8b21-e9cfa057bcdf.json
product_5::unit_043,product_5,unit_043,01a07770-9cd0-7fc7-86f5-f872b020b130,medium,7.0,10.0,6.0,0,pass,,ai-reviews/01a07770-9cd0-7fc7-86f5-f872b020b130.json
product_5::unit_044,product_5,unit_044,01a07770-a14f-7e3d-83f0-231b8c7dfd8a,normal,7.0,10.0,6.0,0,pass,True,ai-reviews/01a07770-a14f-7e3d-83f0-231b8c7dfd8a.json
business_models_1::unit_045,business_models_1,unit_045,01a07770-a5ec-7c8b-968d-7f83a7607aa6,weak,4.0,10.0,6.0,1,fail,True,ai-reviews/01a07770-a5ec-7c8b-968d-7f83a7607aa6.json
business_models_1::unit_046,business_models_1,unit_046,01a07770-b5a4-70c9-b194-b6e0c2e90e87,medium,10.0,10.0,6.0,2,pass,,ai-reviews/01a07770-b5a4-70c9-b194-b6e0c2e90e87.json
business_models_1::unit_047,business_models_1,unit_047,01a07770-c81c-7f9a-97a3-9c9c81f35fee,normal,10.0,10.0,6.0,2,pass,True,ai-reviews/01a07770-c81c-7f9a-97a3-9c9c81f35fee.json
fraud_1::unit_048,fraud_1,unit_048,01a07770-cc9c-74f1-b08b-eb99a4f24ef2,weak,7.0,10.0,6.0,3,pass,False,ai-reviews/01a07770-cc9c-74f1-b08b-eb99a4f24ef2.json
fraud_1::unit_049,fraud_1,unit_049,01a07770-d121-7c16-b3a8-39b68479fe92,medium,9.0,10.0,6.0,4,pass,,ai-reviews/01a07770-d121-7c16-b3a8-39b68479fe92.json
fraud_1::unit_050,fraud_1,unit_050,01a07770-d5cc-7225-aa2d-abb196facb1d,normal,7.0,10.0,6.0,1,pass,True,ai-reviews/01a07770-d5cc-7225-aa2d-abb196facb1d.json
system_design_1::unit_051,system_design_1,unit_051,01a07770-da09-76cb-a2e4-b96ad770ec97,normal,6.0,6.0,4.0,0,pass,True,ai-reviews/01a07770-da09-76cb-a2e4-b96ad770ec97.json
system_design_1::unit_052,system_design_1,unit_052,01a07770-de4e-789b-a22a-7ba968a18750,weak,1.0,6.0,4.0,0,fail,True,ai-reviews/01a07770-de4e-789b-a22a-7ba968a18750.json
system_design_1::unit_053,system_design_1,unit_053,01a07770-e298-7012-88ce-7ef67ac437f4,medium,6.0,6.0,4.0,1,pass,,ai-reviews/01a07770-e298-7012-88ce-7ef67ac437f4.json
system_design_1::unit_054,system_design_1,unit_054,01a07770-e6d3-7ba9-8134-004254f9d059,normal,6.0,6.0,4.0,0,pass,True,ai-reviews/01a07770-e6d3-7ba9-8134-004254f9d059.json
system_design_2::unit_055,system_design_2,unit_055,01a07770-eb30-7c88-b3a3-99f971865091,normal,10.0,10.0,6.0,0,pass,True,ai-reviews/01a07770-eb30-7c88-b3a3-99f971865091.json
system_design_2::unit_056,system_design_2,unit_056,01a07770-ef59-744b-aa33-534e4e97fb65,medium,10.0,10.0,6.0,0,pass,,ai-reviews/01a07770-ef59-744b-aa33-534e4e97fb65.json
system_design_2::unit_057,system_design_2,unit_057,01a07770-f437-73df-be40-ea2f0079d569,normal,10.0,10.0,6.0,0,pass,True,ai-reviews/01a07770-f437-73df-be40-ea2f0079d569.json
tech_qa_1::unit_058,tech_qa_1,unit_058,01a07770-f88b-7758-8acc-151cc0522baf,weak,10.0,20.0,12.0,1,fail,True,ai-reviews/01a07770-f88b-7758-8acc-151cc0522baf.json
tech_qa_1::unit_059,tech_qa_1,unit_059,01a07770-fcf3-70cf-bff4-2a68a19a6d81,medium,15.0,20.0,12.0,1,pass,,ai-reviews/01a07770-fcf3-70cf-bff4-2a68a19a6d81.json
tech_qa_1::unit_060,tech_qa_1,unit_060,01a07771-016c-7e9a-bb03-313bcd836d90,normal,20.0,20.0,12.0,1,pass,True,ai-reviews/01a07771-016c-7e9a-bb03-313bcd836d90.json
